time_ns,sample,rst,start,busy,done,cycle_count,pe_active_hex,active_count,c00,c03,c30,c33
4525,452,0,0,1,0,4,4991,10,22,-21,-4,0
4535,453,0,0,1,0,5,14334,12,22,-27,60,0
4545,454,0,0,1,0,6,32748,12,22,-11,36,0
4555,455,0,0,1,0,7,65224,10,22,-35,54,14
4565,456,0,0,1,0,8,60544,6,22,-35,54,-10
4575,457,0,0,1,0,9,51200,3,22,-35,54,-26
4585,458,0,0,0,0,9,32768,1,22,-35,54,-8
4595,459,0,0,0,1,9,32768,1,22,-35,54,-8
4605,460,0,1,1,0,0,0,0,0,0,0,0
4615,461,0,0,1,0,1,1,1,32,0,0,0
4625,462,0,0,1,0,2,19,3,88,0,0,0
4635,463,0,0,1,0,3,311,6,109,0,0,0
4645,464,0,0,1,0,4,4991,10,112,4,40,0
4655,465,0,0,1,0,5,14334,12,112,39,72,0
4665,466,0,0,1,0,6,32748,12,112,60,93,0
4675,467,0,0,1,0,7,65224,10,112,72,92,5
4685,468,0,0,1,0,8,60544,6,112,72,92,25
4695,469,0,0,1,0,9,51200,3,112,72,92,46
4705,470,0,0,0,0,9,32768,1,112,72,92,42
4715,471,0,0,0,1,9,32768,1,112,72,92,42
4725,472,0,1,1,0,0,0,0,0,0,0,0
4735,473,0,0,1,0,1,1,1,-32,0,0,0
4745,474,0,0,1,0,2,19,3,-11,0,0,0
4755,475,0,0,1,0,3,311,6,-17,0,0,0
4765,476,0,0,1,0,4,4991,10,32,8,-20,0
4775,477,0,0,1,0,5,14334,12,32,22,-11,0
4785,478,0,0,1,0,6,32748,12,32,-8,-4,0
4795,479,0,0,1,0,7,65224,10,32,13,-32,5
