time_ns,sample,mode,a,b,valid_in,clear,acc,sat_flag,fp_flag
1151345,57565,0,127,127,1,0,927889466,0,0
1155345,57765,0,127,127,1,0,931115266,0,0
1159365,57966,0,127,127,1,0,934357195,0,0
1163365,58166,0,127,127,1,0,937582995,0,0
1167365,58366,0,127,127,1,0,940808795,0,0
1171385,58567,0,127,127,1,0,944050724,0,0
1175385,58767,0,127,127,1,0,947276524,0,0
1179385,58967,0,127,127,1,0,950502324,0,0
1183385,59167,0,127,127,1,0,953728124,0,0
1187405,59368,0,127,127,1,0,956970053,0,0
1191405,59568,0,127,127,1,0,960195853,0,0
1195405,59768,0,127,127,1,0,963421653,0,0
1199425,59969,0,127,127,1,0,966663582,0,0
1203425,60169,0,127,127,1,0,969889382,0,0
1207425,60369,0,127,127,1,0,973115182,0,0
1211425,60569,0,127,127,1,0,976340982,0,0
1215445,60770,0,127,127,1,0,979582911,0,0
1219445,60970,0,127,127,1,0,982808711,0,0
1223445,61170,0,127,127,1,0,986034511,0,0
1227465,61371,0,127,127,1,0,989276440,0,0
1231465,61571,0,127,127,1,0,992502240,0,0
1235465,61771,0,127,127,1,0,995728040,0,0
1239485,61972,0,127,127,1,0,998969969,0,0
1243485,62172,0,127,127,1,0,1002195769,0,0
1247485,62372,0,127,127,1,0,1005421569,0,0
1251485,62572,0,127,127,1,0,1008647369,0,0
1255505,62773,0,127,127,1,0,1011889298,0,0
1259505,62973,0,127,127,1,0,1015115098,0,0
1263505,63173,0,127,127,1,0,1018340898,0,0
1267525,63374,0,127,127,1,0,1021582827,0,0
1271525,63574,0,127,127,1,0,1024808627,0,0
1275525,63774,0,127,127,1,0,1028034427,0,0
1279545,63975,0,127,127,1,0,1031276356,0,0
1283545,64175,0,127,127,1,0,1034502156,0,0
1287545,64375,0,127,127,1,0,1037727956,0,0
1291545,64575,0,127,127,1,0,1040953756,0,0
1295565,64776,0,127,127,1,0,1044195685,0,0
1299565,64976,0,127,127,1,0,1047421485,0,0
1303565,65176,0,127,127,1,0,1050647285,0,0
1307585,65377,0,127,127,1,0,1053889214,0,0
1311585,65577,0,127,127,1,0,1057115014,0,0
1315585,65777,0,127,127,1,0,1060340814,0,0
1319585,65977,0,127,127,1,0,1063566614,0,0
1323605,66178,0,127,127,1,0,1066808543,0,0
1327605,66378,0,127,127,1,0,1070034343,0,0
1331605,66578,0,127,127,1,0,1073260143,0,0
1335625,66779,0,127,127,1,0,1076502072,0,0
1339625,66979,0,127,127,1,0,1079727872,0,0
1343625,67179,0,127,127,1,0,1082953672,0,0
1347645,67380,0,127,127,1,0,1086195601,0,0
1351645,67580,0,127,127,1,0,1089421401,0,0
1355645,67780,0,127,127,1,0,1092647201,0,0
1359645,67980,0,127,127,1,0,1095873001,0,0
1363665,68181,0,127,127,1,0,1099114930,0,0
1367665,68381,0,127,127,1,0,1102340730,0,0
1371665,68581,0,127,127,1,0,1105566530,0,0
1375685,68782,0,127,127,1,0,1108808459,0,0
1379685,68982,0,127,127,1,0,1112034259,0,0
1383685,69182,0,127,127,1,0,1115260059,0,0
1387705,69383,0,127,127,1,0,1118501988,0,0
1391705,69583,0,127,127,1,0,1121727788,0,0
1395705,69783,0,127,127,1,0,1124953588,0,0
1399705,69983,0,127,127,1,0,1128179388,0,0
1403725,70184,0,127,127,1,0,1131421317,0,0
1407725,70384,0,127,127,1,0,1134647117,0,0
1411725,70584,0,127,127,1,0,1137872917,0,0
1415745,70785,0,127,127,1,0,1141114846,0,0
1419745,70985,0,127,127,1,0,1144340646,0,0
1423745,71185,0,127,127,1,0,1147566446,0,0
1427745,71385,0,127,127,1,0,1150792246,0,0
1431765,71586,0,127,127,1,0,1154034175,0,0
1435765,71786,0,127,127,1,0,1157259975,0,0
1439765,71986,0,127,127,1,0,1160485775,0,0
1443785,72187,0,127,127,1,0,1163727704,0,0
1447785,72387,0,127,127,1,0,1166953504,0,0
1451785,72587,0,127,127,1,0,1170179304,0,0
1455805,72788,0,127,127,1,0,1173421233,0,0
1459805,72988,0,127,127,1,0,1176647033,0,0
1463805,73188,0,127,127,1,0,1179872833,0,0
1467805,73388,0,127,127,1,0,1183098633,0,0
1471825,73589,0,127,127,1,0,1186340562,0,0
1475825,73789,0,127,127,1,0,1189566362,0,0
1479825,73989,0,127,127,1,0,1192792162,0,0
1483845,74190,0,127,127,1,0,1196034091,0,0
1487845,74390,0,127,127,1,0,1199259891,0,0
1491845,74590,0,127,127,1,0,1202485691,0,0
1495845,74790,0,127,127,1,0,1205711491,0,0
1499865,74991,0,127,127,1,0,1208953420,0,0
